92,18,18/10/2018,14/11/2018,RRHR
93,3,11/11/2018,22/11/2018,RRHR
94,10,11/11/2018,11/06/2019,RRHR
95,18,14/11/2018,25/11/2018,EMLP
96,3,22/11/2018,20/05/2019,UEQG
97,13,23/11/2018,0,AHDR
98,23,24/11/2018,14/12/2021,UEQG
99,18,25/11/2018,06/03/2019,DPJJ
100,22,24/01/2019,25/04/2019,DPJJ
101,17,24/01/2019,0,UEQG
102,24,24/01/2019,02/10/2019,GHCV
103,15,03/02/2019,19/02/2019,AHDR
104,15,19/02/2019,11/08/2019,AHDR
105,9,20/02/2019,25/04/2019,RRHR
106,21,27/02/2019,0,YKNX
107,18,06/03/2019,19/04/2019,UEQG
108,16,16/03/2019,15/06/2019,LPRA
109,18,19/04/2019,0,DPJJ
110,29,19/04/2019,0,YKNX
111,9,25/04/2019,28/08/2019,DPJJ
112,22,25/04/2019,0,VSPW
113,8,25/04/2019,10/11/2019,GHCV
114,4,01/05/2019,23/07/2019,AHDR
115,30,11/05/2019,0,UEQG
116,26,13/05/2019,18/08/2019,UEQG
117,7,19/05/2019,20/10/2019,TSCW
118,3,20/05/2019,0,VSPW
119,11,27/05/2019,19/08/2019,LPRA
120,31,28/05/2019,0,DPJJ
121,10,11/06/2019,23/09/2019,YKNX
122,16,15/06/2019,26/07/2019,UEQG
123,5,22/06/2019,0,VSPW
124,14,04/07/2019,24/11/2019,UEQG
125,4,23/07/2019,0,VSPW
126,16,26/07/2019,21/11/2019,UEQG
127,15,11/08/2019,06/10/2019,EMLP
128,26,18/08/2019,04/10/2019,DPJJ
129,11,19/08/2019,0,LPRA
130,6,22/08/2019,22/08/2019,UEQG
131,6,22/08/2019,02/09/2019,EMLP
132,9,28/08/2019,18/10/2019,DPJJ
133,6,02/09/2019,07/11/2019,TSCW
134,10,23/09/2019,0,YKNX
135,24,02/10/2019,25/12/2021,GHCV
136,26,04/10/2019,06/11/2019,VSPW
137,15,06/10/2019,0,EMLP
138,9,18/10/2019,0,RRHR
139,7,20/10/2019,0,EMLP
140,28,22/10/2019,0,VSPW
141,27,24/10/2019,0,GHCV
142,26,06/11/2019,21/11/2019,YKNX
143,6,07/11/2019,10/11/2019,UEQG
144,8,10/11/2019,0,TSCW
145,6,10/11/2019,0,RRHR
146,16,21/11/2019,0,YKNX
147,26,21/11/2019,0,AHDR
148,14,24/11/2019,0,AHDR
149,1,25/11/2019,25/12/2021,VSPW
150,38,14/12/2021,14/12/2021,FIRA
151,23,14/12/2021,0,FAYE
152,25,25/12/2021,25/12/2021,favo
